  0.00000000  8.53193322468371e-03  3.23252899993200e-07 -4.94448245159930e-06
  0.01000000  8.58757210135254e-03  3.62336235333869e-06 -7.02252923420273e-06
  0.02000000  8.75252080278306e-03  1.09486726071170e-05 -3.11235758243856e-06
  0.03000000  9.02122077435839e-03  1.18290489752011e-05  1.53832602711094e-06
  0.04000000  9.38542623288893e-03  9.30792036686972e-06  4.07774970344797e-06
  0.05000000  9.83535235592655e-03  1.26188344644763e-05  1.64717363777634e-06
  0.06000000  1.03607490309314e-02  1.15551050913350e-05  4.30785119692025e-06
  0.07000000  1.09517045997295e-02  1.33238049586454e-05  4.73949483057095e-06
  0.08000000  1.15991302148503e-02  1.36634146186554e-05  6.34119349155640e-06
  0.09000000  1.22949721702749e-02  1.52459853528391e-05  5.76201657180133e-06
  0.10000000  1.30322352635114e-02  1.51436433420790e-05  5.92890711488785e-06
  0.15000000  1.71551113424626e-02  7.98421530905405e-06  6.67302048406681e-06
  0.20000000  2.16633419690663e-02  1.09525277944160e-05  6.51586100878907e-06
  0.25000000  2.62057631108078e-02  7.39103082890783e-06  4.50539105315835e-06
  0.30000000  3.05082945269228e-02  8.15547535475162e-06  5.61710058505378e-06
  0.35000000  3.44005739972033e-02  1.36231213328660e-05  5.33498974194520e-06
  0.40000000  3.78414157232416e-02  1.55830068774587e-05  8.68419325338312e-06
  0.45000000  4.08796908250372e-02  3.62286078689967e-05  1.84467631416106e-05
  0.50000000  4.34881301598992e-02  2.41390337890463e-05  1.47826144859571e-05
