  0.00000000  8.53193322468371e-03  3.86465746837441e-08  1.42586294724775e-07
  0.01000000  8.58534455051604e-03  7.20625370181089e-08  1.34081218264412e-07
  0.02000000  8.74376413587069e-03  1.58508733691572e-07  1.27093110470245e-07
  0.03000000  9.00205434443962e-03  2.33616453371271e-07  1.39307497530116e-07
  0.04000000  9.35255800850785e-03  2.77390078923255e-07  1.75634887344299e-07
  0.05000000  9.78613046773909e-03  2.55464879354438e-07  1.82335441991447e-07
  0.06000000  1.02931195968886e-02  3.41526808940554e-07  1.64419889804903e-07
  0.07000000  1.08641152066915e-02  3.33113574793633e-07  2.41006796986801e-07
  0.08000000  1.14904152833716e-02  2.78016444239140e-07  2.27079921757835e-07
  0.09000000  1.21642441428077e-02  2.87351520147727e-07  2.13311433980303e-07
  0.10000000  1.28787932702199e-02  2.83758013623818e-07  1.91544341378766e-07
  0.15000000  1.68801819449107e-02  2.43353907649339e-07  1.15124278463546e-07
  0.20000000  2.12549460509194e-02  3.48465353152311e-07  8.10080638400183e-08
  0.25000000  2.56564364651313e-02  4.09838213532059e-07  9.20903334946197e-08
  0.30000000  2.98263073684910e-02  4.83189909277323e-07  1.82539952859872e-07
  0.35000000  3.36167744172382e-02  5.34649162121304e-07  2.29684282666897e-07
  0.40000000  3.70035149015951e-02  6.11432977797848e-07  3.55572557417198e-07
  0.45000000  4.00382378918160e-02  6.83930507334829e-07  3.65436104494876e-07
  0.50000000  4.25856907893306e-02  9.09430511965618e-07  6.10639868096889e-07
