  0.00000000 -8.75333295715961e-03  4.30468716290957e-06 -7.13546358241434e-06
  0.01000000 -8.80441273852476e-03  7.25572889708255e-06 -6.94404905260093e-06
  0.02000000 -8.95555620601342e-03  1.34700956941741e-05 -8.06776318147977e-06
  0.03000000 -9.20082658572516e-03  1.60095615660179e-05 -1.11103798670968e-05
  0.04000000 -9.53136622633331e-03  1.58467827977050e-05 -1.31460547897822e-05
  0.05000000 -9.93657166460488e-03  1.71235807216817e-05 -1.55526640435343e-05
  0.06000000 -1.04052033055562e-02  1.74950281204397e-05 -1.61874829904843e-05
  0.07000000 -1.09262325578445e-02  1.81576367094605e-05 -1.79036212904374e-05
  0.08000000 -1.14893751301517e-02  1.58517336705466e-05 -1.86066340228090e-05
  0.09000000 -1.20853557204424e-02  1.51374875186396e-05 -1.83069878724280e-05
  0.10000000 -1.27059849115310e-02  1.45449484161155e-05 -1.79172735709820e-05
  0.15000000 -1.59604961292109e-02  1.20785608527766e-05 -1.65825909262814e-05
  0.20000000 -1.90948028847502e-02  1.15263152269560e-05 -1.31242340604428e-05
  0.25000000 -2.18393883545315e-02  1.40594626737188e-05 -9.92945962414906e-06
  0.30000000 -2.41065203427485e-02  2.00365815114396e-05 -6.26718381646531e-06
  0.35000000 -2.59067082752332e-02  2.73629108674294e-05 -3.57518258087157e-06
  0.40000000 -2.72965428404221e-02  3.58243731987216e-05 -3.07775367097684e-06
  0.45000000 -2.83456418988449e-02  4.62027636316955e-05 -8.84240046210359e-07
  0.50000000 -2.90441992450825e-02  5.23978120273257e-05 -1.13287741131473e-05
