  0.00000000 -8.75333295715961e-03  4.95442789393623e-06 -7.65164125301027e-06
  0.01000000 -8.78044649675252e-03  6.85828641110149e-06 -7.44852742690980e-06
  0.02000000 -8.86092288069322e-03  1.20261903378597e-05 -7.95526089111406e-06
  0.03000000 -8.99226191848883e-03  1.59957812312953e-05 -1.00161270878821e-05
  0.04000000 -9.17058254356648e-03  1.80640493152107e-05 -1.22839650451310e-05
  0.05000000 -9.39098250257135e-03  1.53520823577267e-05 -1.47717296215629e-05
  0.06000000 -9.64793164160477e-03  1.71176436094985e-05 -1.62004001819835e-05
  0.07000000 -9.93563748158309e-03  1.68115860323398e-05 -1.82024898405772e-05
  0.08000000 -1.02483445922757e-02  1.55673446502169e-05 -1.93036980888902e-05
  0.09000000 -1.05805535070970e-02  1.41483460136579e-05 -1.88836078045066e-05
  0.10000000 -1.09271629590410e-02  1.38187540265710e-05 -1.93595353717014e-05
  0.15000000 -1.27320860125676e-02  1.18266213351774e-05 -1.82877165463572e-05
  0.20000000 -1.44077275870268e-02  1.19864418597359e-05 -1.67753825731739e-05
  0.25000000 -1.57930273404677e-02  1.72788125347774e-05 -1.45266414043678e-05
  0.30000000 -1.68657997815534e-02  1.70246130284528e-05 -1.38671281482291e-05
  0.35000000 -1.76675244945909e-02  1.93028230444101e-05 -1.12886779628953e-05
  0.40000000 -1.82576584420516e-02  2.12509397298607e-05 -8.81817595925262e-06
  0.45000000 -1.86905030469280e-02  2.73348574324895e-05 -6.87934854295340e-06
  0.50000000 -1.89918932979085e-02  3.70181705344233e-05 -2.10207160586090e-05
